Designator,Mid X,Mid Y,Rotation,Layer
C10,149.3,-85.675,270.0,bottom
C11,150.9,-85.675,270.0,bottom
C12,150.8,-80.575,90.0,bottom
C3,190.85,-68.325,270.0,bottom
C4,185.55,-68.325,270.0,bottom
C5,188.35,-68.125,0.0,bottom
C6,178.9375,-80.4625,0.0,bottom
C7,196.6,-81.5,180.0,bottom
C8,199.675,-81.5,180.0,bottom
C9,179.2,-85.7625,0.0,bottom
ESD1,178.95,-77.5625,90.0,bottom
J2,179.1,-71.6325,180.0,bottom
R1,176.1,-76.4,270.0,bottom
R2,181.6,-76.4,270.0,bottom
R3,174.5,-83.6,90.0,bottom
R4,150.1,-83.4,0.0,bottom
SW1,197.475,-72.4,270.0,top
SW2,197.475,-88.0,270.0,top
U1,161.4,-80.87,180.0,bottom
U3,189.6625,-75.95,90.0,bottom
U4,188.25,-71.0375,90.0,bottom
U5,185.7,-79.5,90.0,bottom
U6,197.88,-88.94,270.0,bottom
U7,179.0,-83.1625,270.0,bottom
